0.000 879       1.115 4.009 6.140       1.252 7.581 13.458      1.102 3.306 4.926       1.030 1.878 2.672       1.134 4.290 6.667       1.365 11.515 21.651
0.050 1751      1.127 3.973 5.967       1.251 7.502 13.137      1.117 3.291 4.866       1.052 1.911 2.644       1.150 4.186 6.409       1.380 11.290 20.703
0.100 2620      1.142 3.978 6.010       1.257 7.506 13.164      1.134 3.277 4.810       1.070 1.928 2.652       1.160 4.224 6.490       1.374 11.284 21.172
0.150 3487      1.162 3.974 6.044       1.277 7.503 13.555      1.151 3.275 4.756       1.087 1.922 2.695       1.182 4.231 6.486       1.396 11.426 20.911
0.200 4176      1.176 3.933 6.036       1.290 7.516 13.234      1.166 3.306 4.821       1.102 1.952 2.677       1.196 4.224 6.449       1.404 11.125 20.735
0.250 4609      1.185 3.996 5.926       1.295 7.489 12.977      1.178 3.306 4.848       1.111 1.951 2.679       1.206 4.212 6.395       1.421 11.218 20.243
0.300 5037      1.197 3.985 5.893       1.313 7.397 12.810      1.187 3.301 4.782       1.117 1.961 2.687       1.219 4.239 6.396       1.431 11.075 20.623
0.350 5468      1.206 3.957 5.895       1.320 7.402 12.841      1.196 3.293 4.776       1.129 1.978 2.749       1.229 4.209 6.350       1.426 11.055 20.224
0.400 5901      1.213 3.965 5.821       1.323 7.384 12.720      1.200 3.286 4.749       1.131 1.979 2.722       1.232 4.210 6.358       1.426 10.905 20.015
0.450 6334      1.219 3.955 5.790       1.334 7.398 12.863      1.213 3.299 4.722       1.141 1.983 2.731       1.244 4.217 6.289       1.442 11.048 20.281
0.500 6768      1.227 3.919 5.821       1.339 7.316 12.591      1.219 3.264 4.707       1.146 1.977 2.703       1.252 4.167 6.219       1.446 10.946 20.271
0.550 7200      1.234 3.949 5.896       1.335 7.321 12.750      1.227 3.267 4.666       1.152 1.999 2.746       1.254 4.208 6.317       1.443 10.880 20.556
0.600 7634      1.248 3.948 5.747       1.352 7.310 12.402      1.237 3.305 4.669       1.161 2.033 2.749       1.271 4.177 6.283       1.450 10.900 19.826
0.650 8533      1.253 3.943 5.716       1.350 7.281 12.606      1.244 3.275 4.647       1.166 2.016 2.735       1.276 4.171 6.214       1.470 10.880 20.261
0.700 12029     1.293 3.930 5.783       1.387 7.288 12.692      1.281 3.312 4.766       1.200 2.086 2.823       1.316 4.189 6.280       1.493 10.855 19.896
0.750 15520     1.342 3.906 5.658       1.440 7.091 12.280      1.328 3.292 4.607       1.245 2.155 2.887       1.369 4.128 6.073       1.543 10.499 18.992
0.800 23023     1.408 3.913 5.552       1.505 6.898 11.690      1.393 3.290 4.606       1.304 2.269 2.998       1.436 4.119 6.046       1.595 10.316 18.519
0.850 31190     1.493 3.884 5.505       1.595 6.752 11.168      1.478 3.349 4.573       1.384 2.468 3.268       1.522 4.063 5.886       1.701 9.820 17.482
0.900 92475     1.697 3.893 5.258       1.794 6.209 9.791       1.671 3.470 4.581       1.561 3.039 4.158       1.734 4.069 5.591       1.904 8.805 15.426
0.950 1999875   2.249 5.177 7.146       2.289 6.587 9.301       2.210 4.989 6.965       2.522 8.086 13.676      2.304 5.783 10.301      2.299 8.603 13.858
