0.000 205       1.000 4.436 24.817      2.124 171.435 239.013   1.000 3.207 34.983      1.000 1.650 21.909      1.000 5.994 63.976      12.100 187.202 261.830
0.050 313       1.000 4.076 15.675      2.428 160.053 267.012   1.000 3.025 33.389      1.000 1.487 12.552      1.000 4.297 62.593      11.371 188.861 288.437
0.100 338       1.000 4.810 26.493      1.978 158.807 248.902   1.000 3.107 33.795      1.000 1.611 21.095      1.000 6.820 63.570      10.332 191.766 274.595
0.150 462       1.000 4.635 34.542      1.993 171.889 275.615   1.000 3.301 37.553      1.000 1.640 26.079      1.000 5.675 68.903      11.169 197.732 309.291
0.200 496       1.000 4.569 28.740      2.318 170.078 259.659   1.000 3.107 35.153      1.000 1.653 28.510      1.001 5.325 63.582      9.680 201.759 297.726
0.250 655       1.000 3.844 15.741      2.357 171.455 275.595   1.000 2.786 29.150      1.001 1.550 5.006       1.002 4.377 61.157      10.806 195.838 300.495
0.300 966       1.002 4.458 23.332      2.141 159.528 273.077   1.003 3.157 33.349      1.003 1.553 15.581      1.003 5.218 62.695      10.170 189.445 289.524
0.350 4323      1.013 4.482 26.639      2.688 176.562 264.038   1.012 2.938 34.755      1.013 1.710 15.842      1.014 4.860 62.658      12.876 193.471 288.062
0.400 23899     1.065 5.151 32.982      2.472 165.818 259.950   1.061 3.255 35.424      1.063 1.797 24.109      1.072 6.127 61.832      11.358 188.453 281.914
0.450 135833    1.365 5.540 24.803      2.439 104.744 173.111   1.357 3.432 27.914      1.346 2.673 23.946      1.388 12.722 44.954     7.739 120.047 189.726
0.500 213750    1.549 4.556 23.027      2.474 79.827 117.867    1.542 3.575 25.405      1.572 2.992 13.008      1.565 6.067 51.078      6.475 94.134 135.011
0.550 352871    1.659 5.044 24.401      2.541 60.954 91.213     1.666 4.137 28.996      1.774 3.804 18.792      1.689 5.314 43.982      4.975 70.155 93.256
0.600 500000    8.700 43.709 51.037     20.276 37.728 101.722   4.984 102.153 129.727   4.427 108.147 119.525   18.710 42.711 151.049   19.081 46.087 102.728
0.650 500000    48.223 52.276 52.700    46.721 58.975 60.225    51.529 55.089 55.671    60.185 63.868 64.581    45.350 53.086 54.998    43.605 54.064 55.487
0.700 1612212   3.003 82.482 93.295     11.912 83.332 93.767    3.029 90.061 94.754     3.494 89.719 98.848     3.072 82.532 89.935     14.393 82.132 94.892
0.750 1882316   1.843 5.337 17.079      3.630 15.764 22.383     1.836 5.027 17.335      2.136 6.174 21.390      1.870 6.668 19.820      3.928 19.111 27.791
0.800 2130933   1.901 5.260 18.280      3.496 14.930 21.056     1.879 4.774 17.028      2.254 6.093 19.798      1.936 7.311 19.614      3.870 17.645 29.893
0.850 2349387   1.869 6.352 17.742      3.518 14.270 20.694     1.874 5.532 18.076      2.260 6.541 22.028      1.902 8.907 22.110      4.229 18.415 27.052
0.900 2669629   1.909 6.105 15.839      3.354 12.800 17.338     1.930 5.154 14.604      2.308 6.864 18.231      1.965 8.240 19.504      4.185 18.075 29.516
0.950 2999162   1.875 5.346 13.773      3.335 11.587 16.183     1.878 4.731 13.155      2.248 6.113 17.970      1.917 7.329 18.135      4.098 16.656 28.076
