0.000 181       1.192 4.344 6.911       1.541 11.340 21.183     1.166 3.612 5.219       1.010 1.606 2.210       1.178 4.314 6.526       1.832 18.304 39.085
0.050 308       1.168 4.423 7.083       1.457 12.209 24.074     1.122 3.442 5.276       1.011 1.621 2.209       1.167 4.369 7.131       1.799 21.520 52.423
0.100 330       1.168 4.344 6.264       1.607 11.460 18.591     1.137 3.491 4.914       1.012 1.613 2.116       1.197 4.360 6.635       1.777 20.512 42.380
0.150 430       1.285 4.229 6.124       1.671 11.643 21.387     1.222 3.469 5.012       1.013 1.588 2.053       1.230 4.343 6.194       1.861 21.094 48.050
0.200 480       1.188 4.372 6.795       1.544 11.199 23.598     1.150 3.519 5.492       1.014 1.624 2.235       1.179 4.488 7.057       1.746 21.417 47.190
0.250 595       1.190 4.389 6.867       1.589 11.540 21.448     1.167 3.547 5.431       1.013 1.598 2.223       1.187 4.449 6.920       1.882 20.927 43.306
0.300 698       1.140 4.123 5.909       1.523 11.138 22.743     1.143 3.380 4.548       1.016 1.613 2.119       1.179 4.231 6.313       1.697 19.770 41.672
0.350 1101      1.143 4.302 5.923       1.520 11.012 21.827     1.132 3.401 4.935       1.020 1.632 2.120       1.166 4.372 6.319       1.803 21.502 44.446
0.400 6003      1.258 4.499 7.148       1.598 12.311 21.494     1.225 3.658 5.391       1.054 1.688 2.260       1.270 4.475 7.034       1.844 19.002 43.038
0.450 28485     1.413 4.197 6.023       1.615 10.629 19.605     1.375 3.477 4.703       1.158 1.945 2.535       1.439 4.238 5.817       1.873 19.003 42.143
0.500 138087    2.012 4.534 6.326       2.209 8.242 15.234      1.931 4.037 5.658       1.685 3.680 5.572       2.039 4.505 6.250       2.407 12.413 26.750
0.550 199941    2.263 4.868 6.625       2.372 7.143 11.252      2.163 4.558 6.228       1.911 4.543 6.879       2.289 4.935 6.528       2.531 10.155 19.557
0.600 323953    2.397 5.436 8.260       2.455 6.526 11.390      2.312 5.085 6.745       2.201 5.183 7.220       2.416 5.165 7.098       2.627 9.248 18.032
0.650 596736    2.564 6.232 9.889       2.466 7.088 12.259      2.489 5.642 8.258       2.551 6.189 9.344       2.603 5.986 10.101      2.536 7.843 13.930
0.700 1743007   2.813 6.801 9.049       3.827 9.024 13.349      2.769 6.850 9.522       3.537 10.566 16.409     2.846 8.797 14.079      2.747 14.408 21.933
0.750 1989121   2.823 6.578 9.337       3.894 9.145 12.690      2.775 6.906 10.016      3.580 10.820 17.481     2.891 9.277 13.827      3.032 14.352 22.533
0.800 2193316   2.840 6.580 8.601       3.849 9.126 13.202      2.788 6.660 9.001       3.660 11.055 17.171     2.905 8.499 13.418      3.330 15.649 23.560
0.850 2397602   2.869 6.500 9.057       3.904 9.798 14.501      2.814 6.766 10.172      3.852 11.340 18.073     2.923 8.544 13.186      3.727 15.045 22.718
0.900 2687095   2.898 6.436 8.910       3.821 9.211 13.737      2.835 6.647 9.819       3.848 11.650 18.102     2.938 8.835 13.300      4.270 15.944 22.667
0.950 2999723   2.937 6.355 8.890       3.911 9.840 14.995      2.855 6.482 9.342       3.936 11.152 19.454     3.022 8.936 14.071      4.781 15.803 22.689
