0.150 454       1.256 6.396 16.508      61.414 214.492 305.193  1.208 4.232 32.795      1.015 1.814 9.158       1.262 7.466 64.359      65.715 208.615 274.803
0.200 487       1.359 7.310 20.886      59.343 218.894 300.318  1.265 4.282 33.160      1.018 1.819 6.072       1.335 8.672 63.694      63.320 203.617 285.950
0.250 625       1.365 6.755 21.019      61.308 213.989 302.562  1.287 4.151 35.343      1.018 1.819 4.016       1.305 7.436 65.834      64.109 214.285 292.834
0.300 826       1.317 6.155 20.652      58.885 205.546 284.824  1.267 4.086 34.942      1.020 1.761 5.081       1.305 7.351 63.154      63.290 205.823 276.446
0.350 1930      1.360 5.950 18.061      58.906 214.361 310.317  1.294 4.084 29.706      1.030 1.785 4.420       1.331 6.722 62.884      61.375 206.232 271.105
0.400 8855      1.393 6.027 19.057      59.836 213.825 306.115  1.307 4.131 33.823      1.096 1.952 13.469      1.369 7.163 60.464      62.031 203.811 277.467
0.450 105223    1.823 5.956 15.114      50.466 175.808 243.402  1.745 4.259 27.638      1.415 3.009 6.320       1.828 6.722 51.276      54.177 171.725 226.282
0.500 173901    2.289 5.852 13.111      35.937 124.471 157.167  2.176 4.961 17.118      1.909 4.547 7.590       2.295 7.609 36.728      42.368 121.436 159.433
0.550 279593    2.516 8.042 28.389      32.166 99.624 128.776   2.383 5.751 21.551      2.212 5.537 9.501       2.533 8.024 42.913      38.249 94.792 128.521
0.600 453254    2.668 9.265 29.599      27.549 82.127 114.306   2.556 6.294 27.614      2.591 6.433 16.696      2.663 9.958 43.720      32.511 86.088 121.042
0.650 500000    49.243 57.739 58.920    45.282 75.652 117.588   54.496 63.000 64.570    63.496 72.223 73.888    45.675 59.165 118.772   45.507 101.674 134.702
0.700 1678578   3.217 62.371 67.738     19.629 85.478 96.002    3.163 67.948 78.443     3.838 77.350 83.767     3.256 82.306 96.265     24.365 89.207 99.070
0.750 1944710   3.004 8.411 20.135      14.843 47.670 63.653    2.978 8.479 21.973      3.888 14.269 32.951     3.085 13.264 26.080     19.317 66.878 90.380
0.800 2169702   3.088 9.550 20.522      14.845 48.491 62.035    3.070 9.395 20.418      4.078 16.560 30.922     3.101 14.015 30.443     19.088 60.293 84.344
0.850 2384137   3.100 8.625 19.231      14.542 45.019 56.446    3.009 8.799 20.182      4.194 15.453 31.304     3.145 14.142 27.367     18.746 60.358 79.135
0.900 2683767   3.089 9.339 18.601      13.656 44.431 56.402    3.061 9.672 19.623      4.248 16.466 32.178     3.187 14.078 28.758     18.269 59.107 77.269
0.950 2999712   3.200 9.299 20.188      13.576 42.071 52.589    3.129 9.512 20.659      4.338 16.289 32.878     3.333 14.980 27.723     18.223 55.347 74.208
