0.300 557       1.000 4.638 26.951      1.347 119.892 197.487   1.000 3.209 37.170      1.001 1.746 24.921      1.001 5.454 64.729      8.658 162.327 244.567
0.350 607       1.000 4.111 24.839      1.331 119.910 194.981   1.000 3.038 36.559      1.001 1.763 18.239      1.001 4.830 64.487      9.014 161.354 248.295
0.400 658       1.001 4.640 28.337      1.396 120.247 196.148   1.000 3.230 36.889      1.002 1.788 25.476      1.002 5.733 64.659      7.993 162.308 241.084
0.450 728       1.002 4.775 26.928      1.411 123.762 197.480   1.001 3.194 38.709      1.003 1.812 23.773      1.003 5.523 65.099      9.140 165.669 238.162
0.500 881       1.003 4.246 25.158      1.412 117.425 190.204   1.003 3.231 36.818      1.005 1.751 19.947      1.005 4.883 64.163      9.037 158.215 237.652
0.550 1152      1.005 4.430 20.718      1.321 119.163 192.549   1.005 3.088 35.005      1.007 1.724 11.696      1.006 5.305 63.679      8.240 158.788 243.949
0.600 1892      1.009 4.493 28.032      1.343 120.816 190.736   1.009 3.221 36.645      1.011 1.764 23.069      1.011 6.033 64.000      7.739 165.390 246.691
0.650 22278     1.039 4.174 20.950      1.391 113.885 184.444   1.038 2.987 33.977      1.038 1.796 17.922      1.043 4.488 61.380      8.817 155.555 231.532
0.700 38802     1.197 3.767 18.103      1.651 97.247 151.378    1.196 2.982 29.674      1.203 2.043 15.543      1.204 4.090 52.675      7.350 130.417 194.760
0.750 48903     1.237 3.760 18.058      1.668 91.105 142.893    1.235 2.924 28.329      1.246 2.146 16.027      1.249 4.217 49.960      6.611 125.068 187.345
0.800 77280     1.305 3.838 15.893      1.823 84.078 121.961    1.299 3.024 25.410      1.305 2.316 14.573      1.317 4.333 44.902      7.090 112.778 164.909
0.850 177671    1.420 3.807 11.765      1.923 66.832 102.825    1.417 3.103 21.076      1.435 2.686 8.710       1.440 4.217 38.934      5.919 91.040 130.771
0.900 500000    1.785 47.808 49.427     2.981 45.178 66.051     1.789 52.107 53.133     1.905 60.291 61.582     1.825 46.138 47.300     11.143 55.839 86.725
0.950 9984038   1.970 53.497 58.303     3.068 58.627 72.758     1.975 57.056 60.910     2.341 65.899 71.624     2.009 53.961 71.740     4.547 54.309 69.924
