0.000 300       1.113 4.177 6.375       1.195 8.056 14.009      1.092 3.459 5.148       1.013 1.819 2.517       1.098 4.015 6.350       1.168 9.700 18.387
0.050 325       1.147 4.172 6.178       1.238 8.277 13.970      1.128 3.425 4.979       1.016 1.786 2.450       1.130 3.993 5.998       1.207 10.307 18.604
0.100 350       1.143 4.266 6.382       1.253 8.301 14.376      1.123 3.494 5.086       1.015 1.790 2.474       1.129 4.133 6.178       1.210 9.894 19.628
0.150 401       1.132 4.313 6.561       1.224 8.262 14.383      1.112 3.488 5.142       1.016 1.808 2.525       1.112 4.138 6.260       1.191 9.858 18.471
0.200 450       1.123 4.204 6.281       1.233 8.194 14.172      1.109 3.467 4.978       1.017 1.795 2.455       1.112 4.053 6.091       1.183 9.595 18.527
0.250 500       1.134 4.243 6.505       1.226 8.256 13.903      1.111 3.482 5.290       1.017 1.794 2.454       1.116 4.063 6.438       1.194 10.068 19.199
0.300 550       1.145 4.267 6.246       1.245 8.169 13.761      1.113 3.457 5.350       1.018 1.815 2.542       1.121 4.101 6.302       1.206 9.911 18.901
0.350 600       1.138 4.330 6.573       1.228 8.189 13.667      1.112 3.528 5.263       1.018 1.811 2.600       1.121 4.173 6.307       1.189 9.921 19.075
0.400 650       1.137 4.244 6.368       1.225 8.167 14.328      1.113 3.496 5.182       1.019 1.810 2.543       1.118 4.077 6.126       1.195 9.837 18.540
0.450 699       1.162 4.239 6.513       1.244 8.198 14.218      1.134 3.465 5.192       1.020 1.807 2.464       1.137 4.013 6.257       1.212 9.985 18.329
0.500 851       1.127 4.271 6.421       1.214 8.244 13.738      1.110 3.444 5.142       1.020 1.806 2.501       1.115 4.120 6.401       1.179 10.054 19.371
0.550 1002      1.139 4.220 6.371       1.229 8.105 14.406      1.118 3.477 5.131       1.022 1.794 2.429       1.124 4.095 6.293       1.187 10.063 19.026
0.600 1718      1.143 4.252 6.460       1.243 8.241 13.967      1.128 3.463 5.183       1.036 1.797 2.480       1.136 4.129 6.046       1.201 9.804 18.795
0.650 7489      1.195 4.201 6.435       1.285 8.180 13.526      1.180 3.481 5.035       1.069 1.822 2.486       1.183 4.064 6.150       1.258 9.702 17.775
0.700 36068     1.541 4.095 5.736       1.616 7.309 11.508      1.507 3.483 4.794       1.337 2.391 3.198       1.530 3.939 5.631       1.586 8.470 15.780
0.750 46121     1.671 4.056 5.477       1.742 6.989 10.758      1.653 3.544 4.737       1.458 2.667 3.580       1.660 3.891 5.423       1.713 8.118 14.239
0.800 68323     1.759 4.100 5.490       1.823 6.703 10.020      1.729 3.644 4.760       1.542 2.934 3.963       1.757 3.976 5.380       1.800 7.694 13.244
0.850 121887    1.899 4.191 5.718       1.973 6.289 9.296       1.870 3.809 5.212       1.694 3.494 4.847       1.897 4.078 5.454       1.949 7.230 12.088
0.900 299809    2.215 4.962 7.293       2.163 5.564 7.739       2.150 4.705 6.205       2.042 4.604 6.441       2.209 4.672 6.049       2.168 6.194 9.354
0.950 9996228   2.691 6.391 9.265       2.828 7.944 10.993      2.651 6.483 9.502       3.250 8.451 13.194      2.689 7.065 11.640      2.615 10.121 14.968
